entity,share_2020,share_2024_projected,forecast_2027,forecast_2028,forecast_2029,gdp_group,change_2020_to_2029,at_risk
Somalia,93.9073,93.96888780294505,94.01218945779704,94.02662334274768,94.04105722769835,low,0.13375722769833942,False
Gabon,89.88,91.43908742840864,92.5738138431631,92.95205598141457,93.33029811966607,mid-low,3.4502981196660727,False
Central African Republic,91.26,91.36440299508443,91.43898317523052,91.46384323527921,91.48870329532791,low,0.2287032953279038,False
Iceland,81.07,85.59742522242867,88.89940156936646,90.00006035167907,91.10071913399166,high,10.030719133991667,False
Uganda,90.22,89.36379441965683,88.74650702658211,88.54074456222388,88.33498209786565,low,-1.8850179021343507,True
Liberia,87.24,86.90672580481736,86.66749248731688,86.58774804815005,86.50800360898322,low,-0.7319963910167786,True
Ethiopia,88.92,87.15355000753425,85.9630799723699,85.56625662731511,85.16943328226033,low,-3.750566717739673,True
Guinea-Bissau,86.24,85.61745393640177,85.16088547379773,85.00869598626305,84.85650649872836,low,-1.38349350127163,True
Zimbabwe,81.9,82.84521306546267,83.57943640101988,83.82417751287228,84.06891862472467,low,2.168918624724668,False
Madagascar,82.77,82.83398724241191,82.87119415469449,82.88359645878869,82.89599876288288,low,0.1259987628828867,False
Zambia,84.5,83.53860780731692,82.85632961969125,82.62890355714936,82.40147749460746,low,-2.0985225053925376,True
Cameroon,79.41,80.00655371901817,80.4370493364924,80.58054787565047,80.72404641480854,low,1.3140464148085442,False
Niger,80.83,80.28749964648568,79.8829651662069,79.74812033944731,79.61327551268772,low,-1.216724487312277,True
Nigeria,81.4,80.45687114851735,79.76607485066505,79.5358094180476,79.30554398543018,low,-2.094456014569829,True
Burundi,84.77,81.4099851782706,79.00040676735297,78.19721396371376,77.39402116007456,low,-7.375978839925438,True
Bhutan,82.27,79.76649681510169,77.95723211798085,77.35414388560723,76.75105565323362,low,-5.518944346766375,True
Haiti,76.4,75.80566227542732,75.37393055716325,75.23001998440856,75.08610941165387,low,-1.3138905883461405,True
